BoroughName,trend_slope,recent_trend,avg_crime_rate,volatility,range_crime_rate,seasonal_strength,peak_month,monthly_variation,covid_impact,recovery_rate,Arson And Criminal Damage,Burglary,Drug Offences,Fraud And Forgery,Miscellaneous Crimes Against Society,Nfib Fraud,Possession Of Weapons,Public Order Offences,Robbery,Sexual Offences,Theft,Vehicle Offences,Violence Against The Person,crime_diversity,cluster
Barking And Dagenham,-0.0080011329221826,-0.006860847387213,7.877738353574745,0.8273495252267756,4.716470435861254,0.2552837196059934,7,0.0361935454915165,-0.0963249170533852,0.036498147371536,8.181097722054012,15.525661606822322,5.560071257781119,0.6153773207887125,1.285959101284943,0.0,0.6939505395135234,4.664268828784892,3.7203741710864096,2.1997114466277865,18.06235733203281,12.654352346697554,26.836818326525915,2.9568727898760763,1
Barnet,-0.0061407426011036,-0.0103432788759491,6.290617196138058,0.6518301995889546,3.772563119860133,0.3344618538126621,11,0.040857744731505,-0.1059916382117133,-0.0132091217039634,6.82267081026719,22.503420282501743,3.41122215074612,0.6761286932255756,1.1107990323545136,0.0,0.4561886727491823,4.678312237816093,2.7534406682914896,1.728941479192904,20.430638482934828,15.123084868307798,20.30515262161256,2.868944242085204,1
Bexley,0.0044690448841481,0.0064089360395418,5.064671399995572,0.6372410781097883,3.391931356178411,0.2397050066913471,11,0.0387838270793084,-0.0283919441149859,0.0798217025431795,10.29376008487876,13.89580248005128,5.016688402113127,0.4646227979045556,1.4778630003757651,0.0,0.607855706107292,5.5551380385048965,1.8080944276209636,2.1851860038460686,17.99871797705621,13.72074003669238,26.9755310448487,2.925746858038352,1
Brent,-0.0047402461326473,0.0130733004437317,7.71172018238107,0.7470609028762246,4.163207804339673,0.3640795885712855,10,0.0406496150007527,-0.1066940919142016,0.0643260158144304,6.830312736350969,16.642358861224462,7.69867567608567,0.6416827213762046,1.075539124008816,0.0002167114898264,0.7413700066963851,5.172469839178404,3.887804127487035,1.8294783971151367,19.207139343320843,11.39360657762714,24.879345878039107,2.9716841492420696,1
Bromley,-0.0031299736037549,-0.001628094153982,6.090528025122194,0.5223651812985374,2.92176063359402,0.2420771827412636,11,0.0299748648027721,-0.1157347264016262,0.0517605846568581,8.721245749853253,18.70950593082367,4.073772579769855,0.4333211505022649,1.1817346136381257,0.0,0.5861603039062586,5.323066529332935,2.125073373868935,1.8941533486172488,21.145795261986244,13.187637749055831,22.61853340864538,2.8967929109013784,1
Camden,-0.0058379611021574,0.1028651114498774,12.268875675692492,1.802206030474025,9.56162444748758,0.2336371068459161,10,0.0423022174074236,-0.280350955576365,0.3623513792283056,4.874845773643732,14.380730386470931,4.931734058351126,0.5060840912281219,0.7467510878960939,0.0001847022230759,0.4497499131899551,4.49343568299188,3.6864716703730247,1.5581479538687726,39.72520003250759,8.407275789971408,16.239388857284286,2.680890299179425,0
Croydon,-0.0054483458348738,-0.0024839637509901,7.276473845681456,0.6527301691512121,3.5552023793262637,0.4184806133839026,7,0.041705609168324,-0.0670555658353418,0.0231927884849647,8.357980451539142,16.337743248854228,5.9985477386638015,0.4955005480417102,1.215334148016522,0.0,0.8577787485757804,4.859762325034978,3.644821743776234,2.2846550288976397,18.816033122578336,11.649182463452409,25.482660432569222,2.972088587807419,1
Ealing,-0.0105167817137858,-0.0001766887478262,7.39074212524336,0.8907099324430758,4.738197665508037,0.3591918401651492,7,0.045815474616673,-0.120923304440744,-0.0034972613710503,7.349130265408784,16.20992191866669,5.253340898697515,0.6228722413238258,1.1316288680747275,0.0004234345624227,0.5731186802391559,5.387993089547941,2.953879507460917,1.8446926711945932,20.351323656442133,13.704459612811435,24.61721515556986,2.9287775699514724,1
Enfield,0.0041844594709503,-0.0144254819621866,7.0290417049106,0.6672552512266026,3.502665658046067,0.2905451819299618,11,0.0380030928848761,0.0404366918143972,-0.0007853326707032,7.39096468433512,18.77019445683549,4.62481088901634,0.5551189186510044,1.2062979563032667,0.0,0.7722572711845606,4.300991519803254,3.655476960912736,1.93489153703271,17.58513829588877,16.083579384129546,23.1202781259072,2.941840431879366,1
Greenwich,0.000452633443554,-0.0032618395483524,7.694363025840011,0.7477330522304907,3.5338921638801573,0.3640962888622115,7,0.0425699744977708,-0.0493701687451618,0.0473886166228943,8.44160512720438,14.91737107525446,5.1058923821164095,0.4739993632077894,1.4543512422583529,0.0,0.7235808263919559,5.543430255846677,2.5230323634234773,2.1910273923358976,20.5416842126886,11.398580569620902,26.685445189651094,2.927279035904609,1
