Date,CrimeCount,Population,CrimeRate_per_1000,CrimeRate_per_100k
2010-04-01,5445,217187.0,25.07056131352245,2507.056131352245
2010-05-01,5470,217187.0,25.18566949218876,2518.566949218876
2010-06-01,5130,217187.0,23.620198262326937,2362.019826232693
2010-07-01,5827,217187.0,26.829414283543677,2682.9414283543674
2010-08-01,5393,217187.0,24.83113630189652,2483.113630189652
2010-09-01,5311,217187.0,24.453581475871022,2445.3581475871024
2010-10-01,5513,217187.0,25.38365555949481,2538.3655559494814
2010-11-01,5295,217187.0,24.379912241524583,2437.9912241524585
2010-12-01,5103,217187.0,23.49588142936732,2349.588142936732
2011-01-01,5495,219582.0,25.02481988505433,2502.481988505433
2011-02-01,5056,219582.0,23.02556675865964,2302.556675865964
2011-03-01,5626,219582.0,25.621407947828143,2562.1407947828147
2011-04-01,5609,219582.0,25.54398812288803,2554.398812288803
2011-05-01,5928,219582.0,26.99674836735252,2699.674836735252
2011-06-01,6075,219582.0,27.666202147717023,2766.620214771702
2011-07-01,6182,219582.0,28.1534916341048,2815.34916341048
2011-08-01,5152,219582.0,23.462761064203804,2346.2761064203805
2011-09-01,5000,219582.0,22.7705367470922,2277.05367470922
2011-10-01,5742,219582.0,26.149684400360684,2614.9684400360684
2011-11-01,5701,219582.0,25.96296599903453,2596.2965999034527
2011-12-01,5743,219582.0,26.154238507710104,2615.42385077101
2012-01-01,5544,223858.0,24.765699684621502,2476.5699684621504
2012-02-01,4831,223858.0,21.58064487308919,2158.064487308919
2012-03-01,5961,223858.0,26.628487702025392,2662.848770202539
2012-04-01,5215,223858.0,23.296018011417956,2329.6018011417955
2012-05-01,5613,223858.0,25.07393079541495,2507.393079541495
2012-06-01,5325,223858.0,23.787400941668377,2378.740094166838
2012-07-01,6013,223858.0,26.86077781450741,2686.077781450741
2012-08-01,5758,223858.0,25.721662839835968,2572.1662839835967
2012-09-01,4826,223858.0,21.558309285350536,2155.8309285350533
2012-10-01,5302,223858.0,23.684657238070564,2368.4657238070563
2012-11-01,5494,223858.0,24.542343807234943,2454.2343807234943
2012-12-01,5682,223858.0,25.3821619062084,2538.2161906208403
2013-01-01,5276,226841.0,23.258582002371707,2325.8582002371704
2013-02-01,4776,226841.0,21.05439492860638,2105.439492860638
2013-03-01,4902,226841.0,21.609850071195243,2160.985007119524
2013-04-01,4859,226841.0,21.420289982851425,2142.0289982851427
2013-05-01,4710,226841.0,20.76344223486936,2076.344223486936
2013-06-01,4838,226841.0,21.32771412575328,2132.771412575328
2013-07-01,5099,226841.0,22.47829977825878,2247.829977825878
2013-08-01,5028,226841.0,22.165305213784105,2216.5305213784104
2013-09-01,4339,226841.0,19.127935426135487,1912.7935426135489
2013-10-01,4897,226841.0,21.58780820045759,2158.780820045759
2013-11-01,4747,226841.0,20.926552078327997,2092.655207832799
2013-12-01,4770,226841.0,21.027944683721195,2102.79446837212
2014-01-01,4539,233292.0,19.45630368808189,1945.630368808189
2014-02-01,4167,233292.0,17.861735507432744,1786.1735507432743
2014-03-01,4694,233292.0,20.1207070966857,2012.0707096685696
2014-04-01,4039,233292.0,17.313066886134116,1731.3066886134116
2014-05-01,4128,233292.0,17.69456303688082,1769.456303688082
2014-06-01,4136,233292.0,17.728854825711984,1772.8854825711985
2014-07-01,4084,233292.0,17.505958198309415,1750.5958198309415
2014-08-01,4221,233292.0,18.093205082043102,1809.3205082043105
2014-09-01,4087,233292.0,17.5188176191211,1751.88176191211
2014-10-01,4375,233292.0,18.753322017043025,1875.332201704302
2014-11-01,4328,233292.0,18.551857757659928,1855.1857757659927
2014-12-01,4702,233292.0,20.154998885516864,2015.4998885516864
2015-01-01,4384,242299.0,18.093347475639604,1809.3347475639605
2015-02-01,3698,242299.0,15.262134800391252,1526.2134800391252
2015-03-01,4306,242299.0,17.77143116562594,1777.143116562594
2015-04-01,4045,242299.0,16.694249666734073,1669.4249666734077
2015-05-01,4348,242299.0,17.944770717171757,1794.477071717176
2015-06-01,4094,242299.0,16.89647914353753,1689.647914353753
2015-07-01,4242,242299.0,17.507294706127553,1750.7294706127554
2015-08-01,4291,242299.0,17.709524182931005,1770.952418293101
2015-09-01,4040,242299.0,16.673614005835766,1667.3614005835766
2015-10-01,4480,242299.0,18.489552164887183,1848.9552164887184
2015-11-01,4557,242299.0,18.807341342721184,1880.7341342721184
2015-12-01,4798,242299.0,19.8019801980198,1980.1980198019803
2016-01-01,4368,247614.0,17.64035959194553,1764.0359591945528
2016-02-01,4103,247614.0,16.57014546834993,1657.014546834993
2016-03-01,4074,247614.0,16.45302769633381,1645.302769633381
2016-04-01,4074,247614.0,16.45302769633381,1645.302769633381
2016-05-01,4089,247614.0,16.513605854273184,1651.3605854273185
2016-06-01,4085,247614.0,16.497451678822685,1649.7451678822683
2016-07-01,4685,247614.0,18.92057799639762,1892.057799639762
2016-08-01,4657,247614.0,18.807498768244123,1880.749876824412
2016-09-01,4076,247614.0,16.46110478405906,1646.110478405906
2016-10-01,4458,247614.0,18.003828539581768,1800.3828539581768
2016-11-01,4614,247614.0,18.633841382151253,1863.3841382151247
2016-12-01,5118,247614.0,20.6692674889142,2066.92674889142
2017-01-01,4318,250049.0,17.268615351391126,1726.861535139113
2017-02-01,3957,250049.0,15.824898319929291,1582.489831992929
2017-03-01,4975,250049.0,19.896100364328596,1989.610036432859
2017-04-01,4932,250049.0,19.724134069722336,1972.4134069722336
2017-05-01,5112,250049.0,20.44399297737644,2044.399297737644
2017-06-01,4821,250049.0,19.280221076668973,1928.0221076668968
2017-07-01,5416,250049.0,21.659754688081136,2165.9754688081134
2017-08-01,5371,250049.0,21.47978996116761,2147.978996116761
2017-09-01,5007,250049.0,20.02407528124488,2002.407528124488
