Date,CrimeRate
2010-04-01,7.784788439795098
2010-05-01,7.965381878134723
2010-06-01,8.148674411322403
2010-07-01,8.147116190862725
2010-08-01,7.510259723811806
2010-09-01,7.7267281090058875
2010-10-01,8.02757370340333
2010-11-01,8.070875745022514
2010-12-01,6.85399488768416
2011-01-01,7.61915805705472
2011-02-01,7.169012423676602
2011-03-01,7.849069049328942
2011-04-01,7.415328042004309
2011-05-01,8.03860871554191
2011-06-01,7.674657028843399
2011-07-01,7.766629320763678
2011-08-01,7.622371590281223
2011-09-01,6.978632504091529
2011-10-01,7.634648571130669
2011-11-01,7.694881179265058
2011-12-01,7.230827678016115
2012-01-01,7.419499526388576
2012-02-01,6.864582851969052
2012-03-01,8.041796655421809
2012-04-01,6.884108385690307
2012-05-01,7.484756431900819
2012-06-01,7.232258553389446
2012-07-01,7.262773252058411
2012-08-01,7.086659003590391
2012-09-01,6.737893518912169
2012-10-01,7.400625388254926
2012-11-01,7.608247708148491
2012-12-01,6.940048435686386
2013-01-01,7.062449010087019
2013-02-01,6.4113792876724345
2013-03-01,6.598424566587931
2013-04-01,6.26842370449141
2013-05-01,6.335227406929839
2013-06-01,6.250144112070132
2013-07-01,6.627071381172218
2013-08-01,6.177815644225566
2013-09-01,6.0996346449850085
2013-10-01,6.737411832283181
2013-11-01,6.721707897152172
2013-12-01,6.270789652391905
2014-01-01,6.37335096565444
2014-02-01,5.8282932780727785
2014-03-01,6.481288997340898
2014-04-01,5.941329632313495
2014-05-01,6.24004567001256
2014-06-01,6.259448766146006
2014-07-01,6.54444636716439
2014-08-01,6.108880463384048
2014-09-01,6.276987270702627
2014-10-01,6.762814758237524
2014-11-01,6.7450755408595935
2014-12-01,6.462725464611947
2015-01-01,6.355122440400323
2015-02-01,5.935034841227064
2015-03-01,6.61398302169558
2015-04-01,6.066849364629013
2015-05-01,6.49585592160151
2015-06-01,6.568693634843564
2015-07-01,6.622533192030723
2015-08-01,6.224892880590444
2015-09-01,6.26741732355344
2015-10-01,6.786866746840278
2015-11-01,6.926521637366591
2015-12-01,6.701378448308788
2016-01-01,6.419198555259316
2016-02-01,6.23578113190192
2016-03-01,6.548108696917153
2016-04-01,6.327782797075343
2016-05-01,6.896879172865183
2016-06-01,6.613080620647873
2016-07-01,6.907536785515862
2016-08-01,6.470761343641215
2016-09-01,6.583466719545924
2016-10-01,6.774026956393672
2016-11-01,6.662630295042359
2016-12-01,6.78662375491202
2017-01-01,6.529588625627262
2017-02-01,6.389166037681339
2017-03-01,7.293313349233367
2017-04-01,6.651841440516448
2017-05-01,7.233516647238973
2017-06-01,7.065625063577799
2017-07-01,7.33273405192577
2017-08-01,6.95179863805902
2017-09-01,6.947234857196906
2017-10-01,7.54060956303903
2017-11-01,7.510657295716773
2017-12-01,6.878757536931318
2018-01-01,7.189390497979796
2018-02-01,6.504424249662731
2018-03-01,6.922449715297258
2018-04-01,6.787693147822416
2018-05-01,7.204785305867037
2018-06-01,7.037961053531445
2018-07-01,7.400061236922009
2018-08-01,6.875411496180368
2018-09-01,6.925716256225582
2018-10-01,7.612098943983843
2018-11-01,7.687269559246617
2018-12-01,7.2888545061604
2019-01-01,7.391410403840035
2019-02-01,7.046886835375914
2019-03-01,7.7474646952712725
2019-04-01,7.233967519485392
2019-05-01,7.547526768085151
2019-06-01,7.460447837685963
2019-07-01,7.792708012257704
2019-08-01,7.215963068913765
2019-09-01,7.3964067194411465
2019-10-01,7.910290935953432
2019-11-01,7.809531438310686
2019-12-01,7.310741310127276
2020-01-01,7.656265803475368
2020-02-01,7.185959812089446
2020-03-01,5.4741556154137045
2020-04-01,5.248002109573043
2020-05-01,6.057776511798649
2020-06-01,6.48021348206153
2020-07-01,7.126603871069167
2020-08-01,7.007966975542094
2020-09-01,7.072884195556084
2020-10-01,7.1874390054985495
2020-11-01,6.813640524531404
2020-12-01,6.196692961154014
2021-01-01,5.542686696575784
2021-02-01,5.4573239710953825
2021-03-01,6.450061614854673
2021-04-01,6.195334381583961
2021-05-01,6.662505643340289
2021-06-01,6.86944293390342
2021-07-01,6.827902086685375
2021-08-01,6.424550935545416
2021-09-01,6.643892240353857
2021-10-01,7.091970552586601
2021-11-01,7.059253774032725
2021-12-01,6.421579893940491
2022-01-01,6.532205880891313
2022-02-01,6.221052972575201
2022-03-01,6.877860867714737
2022-04-01,6.2827262951773175
2022-05-01,6.979417700307433
2022-06-01,6.813843075088313
2022-07-01,6.736410551811806
2022-08-01,6.667035453696593
2022-09-01,6.541510308276044
2022-10-01,6.941168705241459
2022-11-01,6.891201614448709
2022-12-01,6.222068375699772
2023-01-01,6.7240456986154
2023-02-01,6.343634878621679
2023-03-01,6.884093428931711
