PerformanceRank,ClusterID,ModelArchitecture,TestRMSE,TestMAE,TrainRMSE
1,2,Medium (Stacked LSTM),0.2759487009917163,0.07534563541412354,0.3075166605194347
2,1,Simple (Single LSTM),0.38020460871480344,0.05128886178135872,0.5349779432423382
3,3,Complex (Bidirectional LSTM with Attention),4.197816402956044,0.1099090501666069,2.6370158728743722
