Date,CrimeRate
2010-04-01,25.07056131352245
2010-05-01,25.18566949218876
2010-06-01,23.620198262326934
2010-07-01,26.82941428354367
2010-08-01,24.83113630189652
2010-09-01,24.453581475871022
2010-10-01,25.383655559494816
2010-11-01,24.379912241524583
2010-12-01,23.49588142936732
2011-01-01,25.02481988505433
2011-02-01,23.02556675865964
2011-03-01,25.621407947828143
2011-04-01,25.54398812288803
2011-05-01,26.99674836735252
2011-06-01,27.666202147717023
2011-07-01,28.1534916341048
2011-08-01,23.462761064203804
2011-09-01,22.7705367470922
2011-10-01,26.149684400360687
2011-11-01,25.96296599903453
2011-12-01,26.1542385077101
2012-01-01,24.7656996846215
2012-02-01,21.580644873089188
2012-03-01,26.62848770202539
2012-04-01,23.29601801141796
2012-05-01,25.073930795414952
2012-06-01,23.787400941668377
2012-07-01,26.86077781450741
2012-08-01,25.721662839835965
2012-09-01,21.558309285350536
2012-10-01,23.684657238070564
2012-11-01,24.542343807234943
2012-12-01,25.3821619062084
2013-01-01,23.258582002371707
2013-02-01,21.05439492860638
2013-03-01,21.609850071195243
2013-04-01,21.420289982851425
2013-05-01,20.763442234869355
2013-06-01,21.32771412575328
2013-07-01,22.47829977825878
2013-08-01,22.1653052137841
2013-09-01,19.127935426135483
2013-10-01,21.587808200457587
2013-11-01,20.926552078327997
2013-12-01,21.0279446837212
2014-01-01,19.45630368808189
2014-02-01,17.861735507432744
2014-03-01,20.1207070966857
2014-04-01,17.313066886134113
2014-05-01,17.69456303688082
2014-06-01,17.728854825711984
2014-07-01,17.505958198309415
2014-08-01,18.093205082043102
2014-09-01,17.5188176191211
2014-10-01,18.753322017043025
2014-11-01,18.551857757659928
2014-12-01,20.15499888551686
2015-01-01,18.093347475639604
2015-02-01,15.262134800391252
2015-03-01,17.77143116562594
2015-04-01,16.694249666734073
2015-05-01,17.94477071717176
2015-06-01,16.896479143537526
2015-07-01,17.507294706127556
2015-08-01,17.709524182931005
2015-09-01,16.673614005835766
2015-10-01,18.489552164887183
2015-11-01,18.807341342721184
2015-12-01,19.801980198019805
2016-01-01,17.64035959194553
2016-02-01,16.57014546834993
2016-03-01,16.453027696333812
2016-04-01,16.453027696333812
2016-05-01,16.51360585427318
2016-06-01,16.497451678822685
2016-07-01,18.92057799639762
2016-08-01,18.807498768244123
2016-09-01,16.46110478405906
2016-10-01,18.003828539581768
2016-11-01,18.633841382151253
2016-12-01,20.6692674889142
2017-01-01,17.268615351391126
2017-02-01,15.824898319929297
2017-03-01,19.89610036432859
2017-04-01,19.72413406972233
2017-05-01,20.44399297737644
2017-06-01,19.280221076668973
2017-07-01,21.659754688081136
2017-08-01,21.47978996116761
2017-09-01,20.02407528124488
2017-10-01,20.076065091242118
2017-11-01,20.423996896608266
2017-12-01,21.587768797315725
2018-01-01,20.22997542997543
2018-02-01,18.32334152334152
2018-03-01,19.32186732186732
2018-04-01,18.83046683046683
2018-05-01,20.68992628992629
2018-06-01,20.83931203931204
2018-07-01,23.17051597051597
2018-08-01,22.83243243243243
2018-09-01,20.851105651105648
2018-10-01,23.29631449631449
2018-11-01,24.97886977886978
2018-12-01,27.604914004914004
2019-01-01,25.36449125955956
2019-02-01,26.18070410930289
2019-03-01,28.59452789243011
2019-04-01,28.451400520674166
2019-05-01,27.020126803114763
2019-06-01,27.0858880279756
2019-07-01,27.42629907431405
2019-08-01,27.673870744378384
2019-09-01,25.12465620418473
2019-10-01,28.548108204293047
2019-11-01,27.32185477600566
2019-12-01,29.464897045000026
2020-01-01,25.574945861428336
2020-02-01,26.390390066966432
2020-03-01,16.697374038872073
2020-04-01,6.819729134052103
2020-05-01,8.92757547666945
2020-06-01,11.893176809074507
2020-07-01,16.381966374465826
2020-08-01,17.77052938483966
2020-09-01,17.855150953338896
2020-10-01,17.151253360822523
2020-11-01,11.877791069347374
2020-12-01,13.877937233874782
2021-01-01,8.005581033634877
2021-02-01,8.005581033634876
2021-03-01,10.064159013712416
2021-04-01,12.271412070128893
2021-05-01,15.50795411658413
2021-06-01,16.567740558179608
2021-07-01,19.598424806627094
2021-08-01,17.783826439003192
2021-09-01,18.111674043237763
2021-10-01,23.31911389654502
2021-11-01,22.381317261176363
2021-12-01,22.95695665930916
2022-01-01,20.06606890042473
2022-02-01,19.92638036809816
2022-03-01,22.60311467673431
2022-04-01,21.36101934874941
2022-05-01,23.294006606890044
2022-06-01,23.195847097687587
2022-07-01,26.63898065125059
2022-08-01,23.603586597451628
2022-09-01,20.994808872109484
2022-10-01,29.217555450684287
2022-11-01,30.901368570080223
2022-12-01,32.20009438414347
2023-01-01,28.5474831072233
2023-02-01,26.654294843493943
2023-03-01,26.75531477060993
2023-04-01,24.929473124957905
2023-05-01,26.774022164520304
2023-06-01,27.862792490103782
2023-07-01,28.45394613767145
2023-08-01,25.38593353637092
2023-09-01,24.465529755980757
2023-10-01,27.855309532539643
2023-11-01,35.196090902968486
2023-12-01,35.551531387265506
2024-01-01,28.235154473595383
2024-02-01,29.62243084946568
2024-03-01,29.1513503688894
2024-04-01,26.86642457333833
2024-05-01,25.961356563412256
2024-06-01,27.274447036829592
2024-07-01,26.46582070009236
2024-08-01,25.123055865693843
2024-09-01,23.71723301421031
2024-10-01,29.31826864940856
2024-11-01,33.13884262573583
2024-12-01,34.214538211303704
2025-01-01,26.384170975933408
2025-02-01,25.977578259857104
2025-03-01,25.907348608898467
