k,silhouette_score
2,0.6208554931723461
3,0.22073608502114067
4,0.15624443435508445
5,0.13600336660074072
6,0.13996662028980542
7,0.11511161654752082
8,0.12920556440002517
9,0.12901983045157714
10,0.1502948357006973
